id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25439,268108,2340823,1.0,,9999,1 bottle,64039,93.0
25440,268109,2340823,2.0,,9999,1 cup,10205,245.0
25441,268110,2340823,3.0,,9999,Quantity not specified,90000,93.0
25442,268111,2340824,1.0,,9999,1 tablespoon,21000,15.0
25443,268112,2340824,2.0,,9999,1 individual container,60868,70.0
25444,268113,2340824,3.0,,9999,Quantity not specified,90000,60.0
25445,268114,2340825,1.0,,9999,1 tablespoon,21000,15.0
25446,268115,2340825,2.0,,9999,1 individual container,60868,70.0
25447,268116,2340825,3.0,,9999,Quantity not specified,90000,60.0
25448,268117,2340826,1.0,,9999,1 tablespoon,21000,15.0
25449,268118,2340826,2.0,,9999,1 individual container,60868,70.0
25450,268119,2340826,3.0,,9999,Quantity not specified,90000,60.0
25451,268120,2340827,1.0,,9999,1 tablespoon,21000,15.0
25452,268121,2340827,2.0,,9999,1 individual container,60868,70.0
25453,268122,2340827,3.0,,9999,Quantity not specified,90000,60.0
25454,268123,2340828,1.0,,9999,1 tablespoon,21000,15.0
25455,268124,2340828,2.0,,9999,1 individual container,60868,70.0
25456,268125,2340828,3.0,,9999,Quantity not specified,90000,60.0
25457,268126,2340829,1.0,,9999,1 tablespoon,21000,15.0
25458,268127,2340829,2.0,,9999,1 individual container,60868,70.0
25459,268128,2340829,3.0,,9999,Quantity not specified,90000,60.0
25460,268129,2340830,1.0,,9999,1 McDonald's parfait,64283,150.0
25461,268130,2340830,2.0,,9999,Quantity not specified,90000,150.0
25462,268131,2340831,1.0,,9999,1 cup,10205,175.0
25463,268132,2340831,2.0,,9999,1 scoop,64289,160.0
25464,268133,2340831,3.0,,9999,1 small ice cream cup,64733,160.0
25465,268134,2340831,4.0,,9999,1 medium ice cream cup,64734,320.0
25466,268135,2340831,5.0,,9999,1 large ice cream cup,64735,480.0
25467,268136,2340831,6.0,,9999,Quantity not specified,90000,175.0
25468,268137,2340832,1.0,,9999,1 cup,10205,175.0
25469,268138,2340832,2.0,,9999,1 scoop,64289,160.0
25470,268139,2340832,3.0,,9999,1 small ice cream cup,64733,160.0
25471,268140,2340832,4.0,,9999,1 medium ice cream cup,64734,320.0
25472,268141,2340832,5.0,,9999,1 large ice cream cup,64735,480.0
25473,268142,2340832,6.0,,9999,Quantity not specified,90000,175.0
25474,268143,2340833,1.0,,9999,1 cup,10205,175.0
25475,268144,2340833,2.0,,9999,1 scoop,64289,160.0
25476,268145,2340833,3.0,,9999,1 small ice cream cup,64733,160.0
25477,268146,2340833,4.0,,9999,1 medium ice cream cup,64734,320.0
25478,268147,2340833,5.0,,9999,1 large ice cream cup,64735,480.0
25479,268148,2340833,6.0,,9999,Quantity not specified,90000,175.0
25480,268149,2340834,1.0,,9999,1 cup,10205,175.0
25481,268150,2340834,2.0,,9999,Quantity not specified,90000,175.0
25482,268151,2340835,1.0,,9999,1 cup,10205,175.0
25483,268152,2340835,2.0,,9999,Quantity not specified,90000,175.0
25484,268153,2340836,1.0,,9999,1 sandwich,61853,75.0
25485,268154,2340836,2.0,,9999,Quantity not specified,90000,75.0
25486,268155,2340837,1.0,,9999,1 bar,60345,65.0
25487,268156,2340837,2.0,,9999,Quantity not specified,90000,65.0
25488,268157,2340838,1.0,,9999,1 bar,60345,65.0
25489,268158,2340838,2.0,,9999,Quantity not specified,90000,65.0
25490,268159,2340839,1.0,,9999,1 cone,60589,125.0
25491,268160,2340839,2.0,,9999,Quantity not specified,90000,125.0
25492,268161,2340840,1.0,,9999,1 cone,60589,125.0
25493,268162,2340840,2.0,,9999,Quantity not specified,90000,125.0
25494,268163,2340841,1.0,,9999,1 cone,60589,255.0
25495,268164,2340841,2.0,,9999,Quantity not specified,90000,255.0
25496,268165,2340842,1.0,,9999,1 cone,60589,255.0
25497,268166,2340842,2.0,,9999,Quantity not specified,90000,255.0
25498,268167,2340843,1.0,,9999,1 tablespoon,21000,15.0
25499,268168,2340843,2.0,,9999,1 jar,62733,110.0
25500,268169,2340843,3.0,,9999,1 tub,62339,110.0
25501,268170,2340843,4.0,,9999,1 pouch,61781,110.0
25502,268171,2340843,5.0,,9999,Quantity not specified,90000,110.0
25503,268172,2340844,1.0,,9999,1 tablespoon,21000,15.0
25504,268173,2340844,2.0,,9999,1 container,64284,110.0
25505,268174,2340844,3.0,,9999,1 pouch,61781,110.0
25506,268175,2340844,4.0,,9999,Quantity not specified,90000,110.0
25507,268176,2340845,1.0,,9999,1 tablespoon,21000,15.0
25508,268177,2340845,2.0,,9999,1 container,64284,110.0
25509,268178,2340845,3.0,,9999,1 pouch,61781,110.0
25510,268179,2340845,4.0,,9999,Quantity not specified,90000,110.0
25511,268180,2340846,1.0,,9999,1 cup,10205,248.0
25512,268181,2340846,2.0,,9999,1 fl oz,30000,31.0
25513,268182,2340846,3.0,,9999,Quantity not specified,90000,248.0
25514,268183,2340846,5.0,,9999,1 individual school container,64294,248.0
25515,268184,2340847,1.0,,9999,1 cup,10205,248.0
